"","V1","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","Species","Country",2014,2013,2012,2011,2010,2009,2008,2007,2006
"2","ANF","Belgium",993,1633,1716,1279,1031,853,964,1363,1193
"3","ANF","Belgium",217,137,133,116,131,140,185,181,141
"4","ANF","Belgium",0,0,0,0,0,0,0,0,0
"5","ANF","Belgium",213,135,131,111,124,134,181,179,138
"6","ANF","Belgium",4,2,2,6,7,6,4,3,3
"7","ANF","Belgium",491,1124,1382,966,721,518,585,1040,907
"8","ANF","Belgium",26,47,58,27,19,19,29,73,69
"9","ANF","Belgium",0,0,0,0,0,0,0,1,0
"10","ANF","Belgium",98,49,59,95,127,56,43,44,21
"11","ANF","Belgium",42,95,144,138,94,73,101,242,217
"12","ANF","Belgium",167,422,472,352,235,193,212,369,301
"13","ANF","Belgium",147,511,636,353,240,178,195,308,293
"14","ANF","Belgium",11,0,13,1,6,0,6,3,7
"15","ANF","Belgium",0,0,0,0,0,0,0,0,0
"16","ANF","Belgium",0,0,0,0,0,0,0,0,0
"17","ANF","Belgium",285,373,201,196,179,195,194,142,144
"18","ANF","Belgium",6,4,6,4,7,7,2,8,18
"19","ANF","Belgium",279,368,196,192,172,188,193,135,127
"20","BIB","Belgium",448,299,318,405,413,425,578,574,472
"21","BIB","Belgium",0,0,0,0,0,0,0,0,0
"22","BIB","Belgium",0,0,0,0,0,0,0,0,0
"23","BIB","Belgium",11,7,17,21,48,52,37,27,30
"24","BIB","Belgium",0,0,0,0,0,0,0,0,0
"25","BIB","Belgium",0,0,0,1,0,0,0,0,0
"26","BIB","Belgium",11,7,17,21,48,52,37,27,30
"27","BIB","Belgium",434,288,298,376,357,368,535,537,433
"28","BIB","Belgium",1,1,1,2,3,2,2,3,4
"29","BIB","Belgium",353,225,219,314,306,318,446,421,339
"30","BIB","Belgium",9,36,51,40,29,24,50,60,58
"31","BIB","Belgium",67,23,24,16,15,21,34,48,24
"32","BIB","Belgium",3,3,3,3,4,4,2,5,6
"33","BIB","Belgium",0,0,0,0,0,0,1,0,1
"34","BIB","Belgium",0,0,0,0,0,0,0,0,0
"35","BIB","Belgium",0,0,0,0,0,0,0,0,0
"36","BIB","Belgium",4,5,4,8,8,4,6,10,10
"37","BIB","Belgium",0,0,0,0,0,0,0,1,1
"38","BIB","Belgium",3,5,3,8,8,4,6,9,9
"39","BIB","Belgium",0,0,0,0,0,0,0,0,0
"40","BLL","Belgium",309,315,317,341,350,336,360,419,390
"41","BLL","Belgium",0,0,0,0,0,0,0,0,0
"42","BLL","Belgium",0,0,0,0,0,0,0,0,0
"43","BLL","Belgium",99,101,110,101,104,109,117,110,105
"44","BLL","Belgium",0,0,0,0,0,0,0,0,0
"45","BLL","Belgium",68,66,84,67,41,39,38,54,47
"46","BLL","Belgium",31,36,26,34,63,70,79,56,58
"47","BLL","Belgium",0,0,0,0,0,0,0,0,0
"48","BLL","Belgium",0,0,0,0,0,0,0,0,0
"49","BLL","Belgium",0,0,0,0,0,0,0,0,0
"50","BLL","Belgium",0,0,0,0,0,0,0,0,0
"51","BLL","Belgium",0,0,0,0,0,0,0,0,0
"52","BLL","Belgium",209,213,205,238,244,223,240,306,281
"53","BLL","Belgium",9,15,28,31,37,28,26,32,35
"54","BLL","Belgium",161,132,104,122,134,118,131,168,157
"55","BLL","Belgium",5,10,17,19,11,13,23,37,23
"56","BLL","Belgium",21,28,26,24,24,29,30,37,25
"57","BLL","Belgium",14,28,31,41,38,34,29,33,41
"58","BLL","Belgium",0,0,0,0,0,0,0,0,0
"59","BLL","Belgium",0,0,0,0,0,0,0,0,0
"60","BLL","Belgium",0,0,0,0,0,0,0,0,0
"61","BLL","Belgium",1,1,3,2,3,4,3,3,4
"62","BLL","Belgium",0,0,0,0,0,0,0,0,1
"63","BLL","Belgium",1,1,3,2,2,3,3,3,4
"64","BLL","Belgium",0,0,0,0,0,0,0,0,0
"65","BRB","Belgium",22,3,0,0,0,0,0,0,0
"66","BRB","Belgium",22,3,0,0,0,0,0,0,0
"67","BRB","Belgium",22,3,0,0,0,0,0,0,0
"68","BRB","Belgium",0,0,0,0,0,0,0,0,0
"69","BRB","Belgium",0,0,0,0,0,0,0,0,0
"70","BRB","Belgium",0,0,0,0,0,0,0,0,0
"71","BRB","Belgium",0,0,0,0,0,0,0,0,0
"72","BSS","Belgium",148,146,155,153,216,174,187,179,211
"73","BSS","Belgium",53,59,55,63,118,90,64,65,116
"74","BSS","Belgium",0,0,0,0,0,0,1,1,1
"75","BSS","Belgium",53,59,55,63,118,90,63,64,115
"76","BSS","Belgium",0,0,0,0,0,0,0,0,0
"77","BSS","Belgium",0,0,0,0,0,0,0,0,0
"78","BSS","Belgium",95,87,99,89,98,84,123,113,95
"79","BSS","Belgium",1,0,1,1,1,1,1,3,2
"80","BSS","Belgium",59,39,56,47,57,35,54,63,34
"81","BSS","Belgium",1,4,12,5,2,2,7,6,6
"82","BSS","Belgium",24,20,9,15,14,20,39,25,20
"83","BSS","Belgium",9,23,21,21,23,25,23,16,33
"84","BSS","Belgium",0,0,0,0,0,0,0,0,0
"85","BSS","Belgium",0,0,1,1,0,1,0,1,0
"86","BSS","Belgium",0,0,0,0,0,0,0,0,0
"87","BSS","Belgium",0,0,0,1,0,1,0,1,0
"88","CAA","Belgium",77,33,37,33,34,52,70,74,67
"89","CAA","Belgium",0,0,0,0,0,0,0,0,0
"90","CAA","Belgium",0,0,0,0,0,0,0,0,0
"91","CAA","Belgium",0,0,0,0,0,0,0,0,0
"92","CAA","Belgium",0,0,0,0,0,0,0,0,0
"93","CAA","Belgium",0,0,0,0,0,0,0,0,0
"94","CAA","Belgium",0,0,0,0,0,0,0,0,0
"95","CAA","Belgium",0,0,0,0,0,0,0,0,0
"96","CAA","Belgium",77,33,37,33,34,51,70,74,67
"97","CAA","Belgium",0,0,0,0,0,0,0,0,0
"98","CAA","Belgium",77,33,37,33,34,51,70,74,67
"99","CAA","Belgium",0,0,0,0,0,0,0,0,0
"100","CAA","Belgium",0,0,0,0,0,0,0,0,0
"101","CAA","Belgium",0,0,0,0,0,0,0,0,0
"102","CAA","Belgium",0,0,0,0,0,0,0,0,0
"103","CAA","Belgium",0,0,0,0,0,0,0,0,0
"104","CAA","Belgium",0,0,0,0,0,0,0,0,0
"105","CAA","Belgium",0,0,0,0,0,1,0,0,0
"106","CAA","Belgium",0,0,0,0,0,1,0,0,0
"107","CAA","Belgium",0,0,0,0,0,0,0,0,0
"108","CAA","Belgium",0,0,0,0,0,0,0,0,0
"109","CAA","Belgium",0,0,0,0,0,0,0,0,0
"110","CAA","Belgium",0,0,0,0,0,0,0,0,0
"111","CAA","Belgium",0,0,0,0,0,0,0,0,0
"112","CAR","Belgium",0,0,0,0,0,0,0,0,0
"113","CAR","Belgium",0,0,0,0,0,0,0,0,0
"114","CAR","Belgium",0,0,0,0,0,0,0,0,0
"115","CAR","Belgium",0,0,0,0,0,0,0,0,0
"116","CAR","Belgium",0,0,0,0,0,0,0,0,0
"117","CAR","Belgium",0,0,0,0,0,0,0,0,0
"118","CAR","Belgium",0,0,0,0,0,0,0,0,0
"119","CLU","Belgium",0,0,0,0,0,0,0,0,0
"120","CLU","Belgium",0,0,0,0,0,0,0,0,0
"121","CLU","Belgium",0,0,0,0,0,0,0,0,0
"122","CLU","Belgium",0,0,0,0,0,0,0,0,0
"123","CLU","Belgium",0,0,0,0,0,0,0,0,0
"124","CLU","Belgium",0,0,0,0,0,0,0,0,0
"125","CLU","Belgium",0,0,0,0,0,0,0,0,0
"126","CLU","Belgium",0,0,0,0,0,0,0,0,0
"127","CLU","Belgium",0,0,0,0,0,0,0,0,0
"128","CLU","Belgium",0,0,0,0,0,0,0,0,0
"129","CLU","Belgium",0,0,0,0,0,0,0,0,0
"130","CLX","Belgium",2,0,0,0,0,0,0,0,0
"131","CLX","Belgium",2,0,0,0,0,0,0,0,0
"132","CLX","Belgium",0,0,0,0,0,0,0,0,0
"133","CLX","Belgium",2,0,0,0,0,0,0,0,0
"134","CLX","Belgium",0,0,0,0,0,0,0,0,0
"135","CNZ","Belgium",0,0,0,0,0,1585,1024,637,866
"136","CNZ","Belgium",0,0,0,0,0,1584,1024,636,866
"137","CNZ","Belgium",0,0,0,0,0,41,169,193,64
"138","CNZ","Belgium",0,0,0,0,0,1544,855,444,803
"139","CNZ","Belgium",0,0,0,0,0,0,0,0,0
"140","CNZ","Belgium",0,0,0,0,0,1,0,0,0
"141","CNZ","Belgium",0,0,0,0,0,1,0,0,0
"142","CNZ","Belgium",0,0,0,0,0,0,0,0,0
"143","CNZ","Belgium",0,0,0,0,0,0,0,0,0
"144","CNZ","Belgium",0,0,0,0,0,0,0,0,0
"145","COC","Belgium",0,0,0,0,0,0,0,0,0
"146","COC","Belgium",0,0,0,0,0,0,0,0,0
"147","COC","Belgium",0,0,0,0,0,0,0,0,0
"148","COC","Belgium",0,0,0,0,0,0,0,0,0
"149","COD","Belgium",1480,1343,1214,868,797,1087,1140,1268,1551
"150","COD","Belgium",0,0,0,0,0,0,0,0,0
"151","COD","Belgium",0,0,0,0,0,0,0,0,0
"152","COD","Belgium",0,0,0,0,0,0,0,0,0
"153","COD","Belgium",0,0,0,0,0,0,0,0,0
"154","COD","Belgium",0,0,0,0,0,0,0,0,0
"155","COD","Belgium",0,0,0,0,0,0,0,0,0
"156","COD","Belgium",0,0,0,0,0,0,0,0,0
"157","COD","Belgium",1258,1075,862,653,666,946,894,1008,1309
"158","COD","Belgium",0,4,0,0,0,0,0,0,0
"159","COD","Belgium",1083,970,710,459,337,324,407,775,1034
"160","COD","Belgium",174,102,152,194,329,622,487,234,275
"161","COD","Belgium",0,0,0,0,0,0,0,0,0
"162","COD","Belgium",0,0,0,0,0,0,0,0,0
"163","COD","Belgium",0,0,0,0,0,0,0,0,0
"164","COD","Belgium",0,0,0,0,0,0,0,0,0
"165","COD","Belgium",0,0,0,0,0,0,0,0,0
"166","COD","Belgium",0,0,0,0,0,0,0,0,0
"167","COD","Belgium",0,0,0,0,0,0,0,0,0
"168","COD","Belgium",0,0,0,0,0,0,0,0,0
"169","COD","Belgium",0,0,0,0,0,0,0,0,0
"170","COD","Belgium",0,0,0,0,0,0,0,0,0
"171","COD","Belgium",223,267,353,216,131,142,246,259,242
"172","COD","Belgium",9,13,23,36,21,19,26,67,60
"173","COD","Belgium",72,53,40,56,57,73,154,84,80
"174","COD","Belgium",1,5,14,13,5,6,5,5,5
"175","COD","Belgium",85,96,135,44,17,14,39,65,52
"176","COD","Belgium",54,101,140,66,30,26,22,37,44
"177","COD","Belgium",1,0,1,0,1,2,1,1,1
"178","COD","Belgium",0,0,0,0,0,0,0,0,0
"179","COD","Belgium",0,0,0,0,0,0,0,0,0
"180","COD","Belgium",0,0,0,0,0,0,0,0,0
"181","COD","Belgium",0,0,0,0,0,0,0,0,0
"182","COD","Belgium",0,0,0,0,0,0,0,0,0
"183","COD","Belgium",0,0,0,0,0,0,0,0,0
"184","COD","Belgium",0,0,0,0,0,0,0,0,0
"185","COE","Belgium",40,27,38,31,27,31,65,81,58
"186","COE","Belgium",1,0,0,0,1,1,2,1,2
"187","COE","Belgium",0,0,0,0,0,0,0,0,0
"188","COE","Belgium",0,0,0,0,0,0,0,0,0
"189","COE","Belgium",0,0,0,0,1,1,2,1,1
"190","COE","Belgium",0,0,0,0,0,0,0,0,0
"191","COE","Belgium",0,0,0,0,0,0,0,0,0
"192","COE","Belgium",0,0,0,0,0,0,0,0,0
"193","COE","Belgium",0,0,0,0,0,0,0,0,0
"194","COE","Belgium",0,0,0,0,0,0,0,0,0
"195","COE","Belgium",39,25,34,30,25,28,61,78,54
"196","COE","Belgium",2,2,2,2,2,2,3,8,6
"197","COE","Belgium",16,6,8,10,11,11,21,21,16
"198","COE","Belgium",3,4,7,5,3,4,18,23,13
"199","COE","Belgium",11,5,6,4,3,5,8,11,5
"200","COE","Belgium",7,8,11,8,5,6,10,14,14
"201","COE","Belgium",0,0,0,0,0,0,0,0,0
"202","COE","Belgium",0,0,0,0,0,0,0,0,0
"203","COE","Belgium",0,0,0,0,0,0,0,0,0
"204","COE","Belgium",1,2,3,1,1,2,2,2,2
"205","COE","Belgium",0,0,2,0,0,0,0,0,0
"206","COE","Belgium",1,2,2,1,1,2,2,2,2
"207","COE","Belgium",0,0,0,0,0,0,0,0,0
"208","CRE","Belgium",272,271,272,104,95,45,115,130,112
"209","CRE","Belgium",0,0,0,0,0,0,0,0,0
"210","CRE","Belgium",0,0,0,0,0,0,0,0,0
"211","CRE","Belgium",110,108,95,43,36,21,61,60,46
"212","CRE","Belgium",0,0,0,0,0,0,0,0,0
"213","CRE","Belgium",94,98,88,39,31,17,49,54,38
"214","CRE","Belgium",16,10,7,4,5,3,12,5,8
"215","CRE","Belgium",0,0,0,0,0,0,0,0,0
"216","CRE","Belgium",0,0,0,0,0,0,0,0,0
"217","CRE","Belgium",0,0,0,0,0,0,0,0,0
"218","CRE","Belgium",0,0,0,0,0,0,0,0,0
"219","CRE","Belgium",0,0,0,0,0,0,0,0,0
"220","CRE","Belgium",0,0,0,0,0,0,0,0,0
"221","CRE","Belgium",144,147,164,55,55,23,46,65,62
"222","CRE","Belgium",4,7,7,3,3,1,3,5,5
"223","CRE","Belgium",70,58,61,19,21,6,17,26,24
"224","CRE","Belgium",7,12,10,7,3,1,4,6,3
"225","CRE","Belgium",26,23,31,9,6,2,6,8,5
"226","CRE","Belgium",36,48,55,19,22,13,17,20,25
"227","CRE","Belgium",1,0,0,0,0,0,0,0,0
"228","CRE","Belgium",0,0,0,0,0,0,0,0,0
"229","CRE","Belgium",0,0,0,0,0,0,0,0,0
"230","CRE","Belgium",18,16,13,6,5,2,8,5,4
"231","CRE","Belgium",1,0,1,0,0,0,0,1,1
"232","CRE","Belgium",17,15,13,6,4,2,8,4,3
"233","CRE","Belgium",0,0,0,0,0,0,0,0,0
"234","CRU","Belgium",3,4,2,3,1,0,1,2,2
"235","CRU","Belgium",0,0,0,0,0,0,0,0,0
"236","CRU","Belgium",0,0,0,0,0,0,0,0,0
"237","CRU","Belgium",0,0,0,0,0,0,0,0,0
"238","CRU","Belgium",0,0,0,0,0,0,0,0,0
"239","CRU","Belgium",0,0,0,0,0,0,0,0,0
"240","CRU","Belgium",0,0,0,0,0,0,0,0,0
"241","CRU","Belgium",0,0,0,0,0,0,0,0,0
"242","CRU","Belgium",0,0,0,0,0,0,0,0,0
"243","CRU","Belgium",0,0,0,0,0,0,0,0,0
"244","CRU","Belgium",3,4,2,3,1,0,1,2,2
"245","CRU","Belgium",0,1,0,0,0,0,0,0,0
"246","CRU","Belgium",2,2,1,1,1,0,0,1,1
"247","CRU","Belgium",0,0,0,0,0,0,0,0,0
"248","CRU","Belgium",0,0,1,1,0,0,0,0,1
"249","CRU","Belgium",0,1,1,1,0,0,0,0,1
"250","CRU","Belgium",0,0,0,0,0,0,0,0,0
"251","CRU","Belgium",0,0,0,0,0,0,0,0,0
"252","CSH","Belgium",1178,1226,880,769,2078,0,0,0,0
"253","CSH","Belgium",1178,1226,880,769,2066,0,0,0,0
"254","CSH","Belgium",23,48,32,0,58,0,0,0,0
"255","CSH","Belgium",1156,1179,848,769,2009,0,0,0,0
"256","CSH","Belgium",0,0,0,0,12,0,0,0,0
"257","CSH","Belgium",0,0,0,0,12,0,0,0,0
"258","CTC","Belgium",373,434,836,392,454,320,872,1395,730
"259","CTC","Belgium",50,40,40,14,35,47,58,36,58
"260","CTC","Belgium",0,0,0,0,0,0,0,0,0
"261","CTC","Belgium",1,18,8,4,2,1,4,2,1
"262","CTC","Belgium",49,22,33,11,33,46,53,33,57
"263","CTC","Belgium",0,0,0,0,0,0,0,0,0
"264","CTC","Belgium",0,0,0,0,0,0,0,0,0
"265","CTC","Belgium",320,386,777,371,417,272,812,1342,672
"266","CTC","Belgium",0,0,0,0,0,0,0,0,0
"267","CTC","Belgium",282,199,420,232,320,220,639,1035,539
"268","CTC","Belgium",31,164,316,127,93,48,162,296,122
"269","CTC","Belgium",6,20,26,10,3,3,7,6,5
"270","CTC","Belgium",2,3,14,2,2,1,4,4,4
"271","CTC","Belgium",0,0,1,0,0,0,0,1,1
"272","CTC","Belgium",0,0,0,0,0,0,0,0,0
"273","CTC","Belgium",0,0,0,0,0,0,0,0,0
"274","CTC","Belgium",3,7,19,7,1,1,2,17,0
"275","CTC","Belgium",0,0,1,0,0,0,0,2,0
"276","CTC","Belgium",3,7,18,6,1,1,2,15,0
"277","CTC","Belgium",0,0,0,0,0,0,0,0,0
"278","DAB","Belgium",481,663,625,469,553,570,559,624,605
"279","DAB","Belgium",0,0,0,0,0,0,0,0,0
"280","DAB","Belgium",0,0,0,0,0,0,0,0,0
"281","DAB","Belgium",0,0,0,0,0,0,0,0,0
"282","DAB","Belgium",0,0,0,0,0,0,0,0,0
"283","DAB","Belgium",0,0,0,0,0,0,0,0,0
"284","DAB","Belgium",0,0,0,0,0,0,0,0,0
"285","DAB","Belgium",0,0,0,0,0,0,0,0,0
"286","DAB","Belgium",304,406,454,243,337,349,371,436,369
"287","DAB","Belgium",0,0,0,0,0,0,0,0,0
"288","DAB","Belgium",174,253,282,131,93,95,119,238,244
"289","DAB","Belgium",130,153,173,112,244,254,253,198,125
"290","DAB","Belgium",0,0,0,0,0,0,0,0,0
"291","DAB","Belgium",0,0,0,0,0,0,0,0,0
"292","DAB","Belgium",0,0,0,0,0,0,0,0,0
"293","DAB","Belgium",0,0,0,0,0,0,0,0,0
"294","DAB","Belgium",0,0,0,0,0,0,0,0,0
"295","DAB","Belgium",0,0,0,0,0,0,0,0,0
"296","DAB","Belgium",0,0,0,0,0,0,0,0,0
"297","DAB","Belgium",0,0,0,0,0,0,0,0,0
"298","DAB","Belgium",177,257,171,226,216,221,188,188,235
"299","DAB","Belgium",2,8,11,14,13,10,6,8,33
"300","DAB","Belgium",149,197,110,162,158,159,147,147,160
"301","DAB","Belgium",1,4,6,7,3,5,2,2,3
"302","DAB","Belgium",20,35,31,27,23,24,13,20,16
"303","DAB","Belgium",5,13,14,17,20,23,21,13,23
"304","DAB","Belgium",0,0,0,0,0,0,0,0,0
"305","DAB","Belgium",0,0,0,0,0,0,0,0,0
"306","DAB","Belgium",0,0,0,0,0,0,0,0,0
"307","DAB","Belgium",0,0,0,0,0,0,0,0,0
"308","DAB","Belgium",0,0,0,0,0,0,0,0,0
"309","DAB","Belgium",0,0,0,0,0,0,0,0,0
"310","DAB","Belgium",0,0,0,0,0,0,0,0,0
"311","DGH","Belgium",0,0,0,0,0,0,0,0,0
"312","DGH","Belgium",0,0,0,0,0,0,0,0,0
"313","DGH","Belgium",0,0,0,0,0,0,0,0,0
"314","DGH","Belgium",0,0,0,0,0,0,0,0,0
"315","DGH","Belgium",0,0,0,0,0,0,0,0,0
"316","DGH","Belgium",0,0,0,0,0,0,0,0,0
"317","DGH","Belgium",0,0,0,0,0,0,0,0,0
"318","DGH","Belgium",0,0,0,0,0,0,0,0,0
"319","DGH","Belgium",0,0,0,0,0,0,0,0,0
"320","DGH","Belgium",0,0,0,0,0,0,0,0,0
"321","DGH","Belgium",0,0,0,0,0,0,0,0,0
"322","DGH","Belgium",0,0,0,0,0,0,0,0,0
"323","DGH","Belgium",0,0,0,0,0,0,0,0,0
"324","DGH","Belgium",0,0,0,0,0,0,0,0,0
"325","DGH","Belgium",0,0,0,0,0,0,0,0,0
"326","DGH","Belgium",0,0,0,0,0,0,0,0,0
"327","DGH","Belgium",0,0,0,0,0,0,0,0,0
"328","DGH","Belgium",0,0,0,0,0,0,0,0,0
"329","DGH","Belgium",0,0,0,0,0,0,0,0,0
"330","DGH","Belgium",0,0,0,0,0,0,0,0,0
"331","DGH","Belgium",0,0,0,0,0,0,0,0,0
"332","DGH","Belgium",0,0,0,0,0,0,0,0,0
"333","DGH","Belgium",0,0,0,0,0,0,0,0,0
"334","DGH","Belgium",0,0,0,0,0,0,0,0,0
"335","DGH","Belgium",0,0,0,0,0,0,0,0,0
"336","DGS","Belgium",0,0,0,3,1,6,11,10,17
"337","DGS","Belgium",0,0,0,0,0,0,0,0,0
"338","DGS","Belgium",0,0,0,0,0,0,0,0,0
"339","DGS","Belgium",0,0,0,0,0,0,0,0,0
"340","DGS","Belgium",0,0,0,0,0,0,0,0,0
"341","DGS","Belgium",0,0,0,0,0,0,0,0,0
"342","DGS","Belgium",0,0,0,0,0,0,0,0,0
"343","DGS","Belgium",0,0,0,0,0,0,0,0,0
"344","DGS","Belgium",0,0,0,0,0,1,2,2,2
"345","DGS","Belgium",0,0,0,0,0,0,0,0,0
"346","DGS","Belgium",0,0,0,0,0,0,1,1,1
"347","DGS","Belgium",0,0,0,0,0,1,1,1,1
"348","DGS","Belgium",0,0,0,0,0,0,0,0,0
"349","DGS","Belgium",0,0,0,0,0,0,0,0,0
"350","DGS","Belgium",0,0,0,0,0,0,0,0,0
"351","DGS","Belgium",0,0,0,0,0,0,0,0,0
"352","DGS","Belgium",0,0,0,0,0,0,0,0,0
"353","DGS","Belgium",0,0,0,0,0,0,0,0,0
"354","DGS","Belgium",0,0,0,0,0,0,0,0,0
"355","DGS","Belgium",0,0,0,0,0,0,0,0,0
"356","DGS","Belgium",0,0,0,3,1,5,9,8,15
"357","DGS","Belgium",0,0,0,0,0,0,2,3,7
"358","DGS","Belgium",0,0,0,3,0,0,0,0,1
"359","DGS","Belgium",0,0,0,0,0,0,0,0,0
"360","DGS","Belgium",0,0,0,0,0,0,1,0,2
"361","DGS","Belgium",0,0,0,0,0,4,6,5,5
"362","DGS","Belgium",0,0,0,0,0,0,0,0,0
"363","DGS","Belgium",0,0,0,0,0,0,0,0,0
"364","DGS","Belgium",0,0,0,0,0,0,0,0,0
"365","DGS","Belgium",0,0,0,0,0,0,0,0,0
"366","DGS","Belgium",0,0,0,0,0,0,0,0,0
"367","DGS","Belgium",0,0,0,0,0,0,0,0,0
"368","DGZ","Belgium",0,0,0,0,0,0,521,478,503
"369","DGZ","Belgium",0,0,0,0,0,0,143,102,101
"370","DGZ","Belgium",0,0,0,0,0,0,2,1,1
"371","DGZ","Belgium",0,0,0,0,0,0,141,101,100
"372","DGZ","Belgium",0,0,0,0,0,0,359,363,389
"373","DGZ","Belgium",0,0,0,0,0,0,37,63,80
"374","DGZ","Belgium",0,0,0,0,0,0,0,0,0
"375","DGZ","Belgium",0,0,0,0,0,0,194,163,163
"376","DGZ","Belgium",0,0,0,0,0,0,23,28,23
"377","DGZ","Belgium",0,0,0,0,0,0,47,49,37
"378","DGZ","Belgium",0,0,0,0,0,0,59,60,85
"379","DGZ","Belgium",0,0,0,0,0,0,0,0,1
"380","DGZ","Belgium",0,0,0,0,0,0,18,13,13
"381","DGZ","Belgium",0,0,0,0,0,0,0,1,1
"382","DGZ","Belgium",0,0,0,0,0,0,18,12,12
"383","DIA","Belgium",0,0,0,0,0,0,0,0,0
"384","DIA","Belgium",0,0,0,0,0,0,0,0,0
"385","DIA","Belgium",0,0,0,0,0,0,0,0,0
"386","DPX","Belgium",11,95,214,225,254,276,273,343,366
"387","DPX","Belgium",0,0,0,0,0,0,0,0,0
"388","DPX","Belgium",0,0,0,0,0,0,0,0,0
"389","DPX","Belgium",0,0,0,0,0,0,0,0,0
"390","DPX","Belgium",0,0,0,0,0,0,0,0,0
"391","DPX","Belgium",0,0,0,0,0,0,0,0,0
"392","DPX","Belgium",0,0,0,0,0,0,0,0,0
"393","DPX","Belgium",0,0,0,0,0,0,0,0,0
"394","DPX","Belgium",6,13,19,17,31,43,30,27,30
"395","DPX","Belgium",0,0,0,0,0,0,0,0,0
"396","DPX","Belgium",1,1,4,3,10,17,5,10,5
"397","DPX","Belgium",4,12,15,14,22,27,25,17,26
"398","DPX","Belgium",0,0,0,0,0,0,0,0,0
"399","DPX","Belgium",0,0,0,0,0,0,0,0,0
"400","DPX","Belgium",0,0,0,0,0,0,0,0,0
"401","DPX","Belgium",0,0,0,0,0,0,0,0,0
"402","DPX","Belgium",0,0,0,0,0,0,0,0,0
"403","DPX","Belgium",0,0,0,0,0,0,0,0,0
"404","DPX","Belgium",0,0,0,0,0,0,0,0,0
"405","DPX","Belgium",5,79,183,200,207,214,230,299,318
"406","DPX","Belgium",0,1,14,10,11,5,7,14,12
"407","DPX","Belgium",4,50,70,81,88,109,123,177,200
"408","DPX","Belgium",0,3,16,5,7,6,10,14,10
"409","DPX","Belgium",1,12,32,27,26,31,35,41,32
"410","DPX","Belgium",0,12,51,77,75,63,54,53,64
"411","DPX","Belgium",0,0,0,0,0,0,0,0,1
"412","DPX","Belgium",0,0,0,0,0,0,0,0,0
"413","DPX","Belgium",0,0,0,0,0,0,0,0,0
"414","DPX","Belgium",0,3,13,9,16,18,13,17,18
"415","DPX","Belgium",0,0,2,2,1,3,1,3,4
"416","DPX","Belgium",0,3,11,7,14,15,12,14,14
"417","DPX","Belgium",0,0,0,0,0,0,0,0,0
"418","ELE","Belgium",0,0,0,0,0,0,0,0,0
"419","ELE","Belgium",0,0,0,0,0,0,0,0,0
"420","ELE","Belgium",0,0,0,0,0,0,0,0,0
"421","FIN","Belgium",0,0,0,0,0,0,0,0,0
"422","FIN","Belgium",0,0,0,0,0,0,0,0,0
"423","FIN","Belgium",0,0,0,0,0,0,0,0,0
"424","FIN","Belgium",0,0,0,0,0,0,0,0,0
"425","FIN","Belgium",0,0,0,0,0,0,0,0,0
"426","FIN","Belgium",0,0,0,0,0,0,0,0,0
"427","FIN","Belgium",0,0,0,0,0,0,0,0,0
"428","FIN","Belgium",0,0,0,0,0,0,0,0,0
"429","FIN","Belgium",0,0,0,0,0,0,0,0,0
"430","FIN","Belgium",0,0,0,0,0,0,0,0,0
"431","FIN","Belgium",0,0,0,0,0,0,0,0,0
"432","FIN","Belgium",0,0,0,0,0,0,0,0,0
"433","FIN","Belgium",0,0,0,0,0,0,0,0,0
"434","FIN","Belgium",0,0,0,0,0,0,0,0,0
"435","FIN","Belgium",0,0,0,0,0,0,0,0,0
"436","FIN","Belgium",0,0,0,0,0,0,0,0,0
"437","FIN","Belgium",0,0,0,0,0,0,0,0,0
"438","FIN","Belgium",0,0,0,0,0,0,0,0,0
"439","FLE","Belgium",379,387,401,322,299,325,346,343,227
"440","FLE","Belgium",376,346,348,262,251,272,306,298,168
"441","FLE","Belgium",0,0,0,0,0,0,0,0,0
"442","FLE","Belgium",1,0,2,1,3,5,26,9,15
"443","FLE","Belgium",375,346,346,261,247,267,280,289,152
"444","FLE","Belgium",0,0,0,0,0,0,0,0,0
"445","FLE","Belgium",0,0,0,0,0,0,0,0,0
"446","FLE","Belgium",0,0,0,0,0,0,0,0,0
"447","FLE","Belgium",0,0,0,0,0,0,0,0,0
"448","FLE","Belgium",0,0,0,0,0,0,0,0,0
"449","FLE","Belgium",4,40,52,60,48,53,40,45,59
"450","FLE","Belgium",0,2,16,5,7,11,9,9,13
"451","FLE","Belgium",2,34,32,53,36,36,30,35,45
"452","FLE","Belgium",0,0,1,0,0,0,0,0,1
"453","FLE","Belgium",1,4,4,1,5,5,1,1,1
"454","FLE","Belgium",0,1,0,0,0,0,0,0,0
"455","FLE","Belgium",0,0,0,0,0,0,0,0,0
"456","FLE","Belgium",0,0,0,0,0,0,0,0,0
"457","FLE","Belgium",0,0,0,0,0,0,0,0,0
"458","FLE","Belgium",0,0,0,0,0,0,0,0,0
"459","FLE","Belgium",0,0,0,0,0,0,0,0,0
"460","FLE","Belgium",0,0,0,0,0,0,0,0,0
"461","GAD","Belgium",0,0,0,0,0,0,0,0,0
"462","GAD","Belgium",0,0,0,0,0,0,0,0,0
"463","GAD","Belgium",0,0,0,0,0,0,0,0,0
"464","GAD","Belgium",0,0,0,0,0,0,0,0,0
"465","GAD","Belgium",0,0,0,0,0,0,0,0,0
